model,variant,period_start,period_end,n_obs,observed_cagr,observed_sharpe,observed_max_drawdown,bootstrap_iterations,cagr_p05,cagr_p50,cagr_p95,sharpe_p05,sharpe_p50,sharpe_p95,max_drawdown_p05,max_drawdown_p50,max_drawdown_p95,prob_negative_sharpe,prob_negative_cagr,n_trials,observed_sharpe_daily,expected_max_sharpe_annual,deflated_sharpe_prob,permutation_iterations,permutation_sharpe_mean,permutation_p_value
selected_v3,long_cash_hysteresis,2021-01-04,2026-06-08,1363,0.058863913696125314,0.2358268720661279,-0.2909829710335292,1000.0,-0.08134124795568176,0.053504547348616316,0.21769480787207413,-0.5674993283033043,0.20659570660246107,1.014022086183875,-0.5563846921381207,-0.3448690516746212,-0.20987838131758113,0.339,0.284,100.0,0.014855696570314748,0.19055586644516787,0.5419457827323237,500.0,0.6124233272823847,0.7145708582834331
selected_v4,long_cash_hysteresis,2021-01-04,2026-06-08,1363,0.058863913696125314,0.2358268720661279,-0.2909829710335292,1000.0,-0.08134124795568176,0.053504547348616316,0.21769480787207413,-0.5674993283033043,0.20659570660246107,1.014022086183875,-0.5563846921381207,-0.3448690516746212,-0.20987838131758113,0.339,0.284,200.0,0.014855696570314748,0.42087193056837713,0.3333925578839041,500.0,0.6124233272823847,0.7145708582834331
