Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown
2015-01-02,24.192604064941406,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0
2015-01-05,23.51106071472168,,,0.0,0.0,-0.02817155806750804,-0.0,-0.02817155806750804,0.0,0.0,10000.0,9718.28441932492,0.0,-0.02817155806750793
2015-01-06,23.513269424438477,,,0.0,0.0,9.394343128943383e-05,0.0,9.394343128943383e-05,0.0,0.0,10000.0,9719.197388309518,0.0,-0.02808026116904816
2015-01-07,23.842987060546875,,,0.0,0.0,0.014022619745330145,0.0,0.014022619745330145,0.0,0.0,10000.0,9855.485997515587,0.0,-0.01445140024844127
2015-01-08,24.759077072143555,,,0.0,0.0,0.03842178034448285,0.0,0.03842178034448285,0.0,0.0,10000.0,10234.151315700257,0.0,0.0
2015-01-09,24.785633087158203,,,0.0,0.0,0.0010725769356130233,0.0,0.0010725769356130233,0.0,0.0,10000.0,10245.12823035705,0.0,0.0
2015-01-12,24.174901962280273,,,0.0,0.0,-0.024640529565264857,-0.0,-0.024640529565264857,0.0,0.0,10000.0,9992.682845297008,0.0,-0.024640529565264857
2015-01-13,24.389543533325195,,,0.0,0.0,0.00887869458084345,0.0,0.00887869458084345,0.0,0.0,10000.0,10081.404824323634,0.0,-0.015980610720741528
2015-01-14,24.29660987854004,,,0.0,0.0,-0.0038103892620283686,-0.0,-0.0038103892620283686,0.0,0.0,10000.0,10042.99074763487,0.0,-0.019730107635278937
2015-01-15,23.637187957763672,,,0.0,0.0,-0.02714049096037885,-0.0,-0.02714049096037885,0.0,0.0,10000.0,9770.419048033516,0.0,-0.04633511378773536
2015-01-16,23.453527450561523,,,0.0,0.0,-0.007769981248629265,-0.0,-0.007769981248629265,0.0,0.0,10000.0,9694.503075239047,0.0,-0.0537450720710807
2015-01-20,24.05762481689453,,,0.0,0.0,0.025757207209295307,0.0,0.025757207209295307,0.0,0.0,10000.0,9944.206399739129,0.0,-0.029372187819598827
2015-01-21,24.24128532409668,,,0.0,0.0,0.0076341911805513085,0.0,0.0076341911805513085,0.0,0.0,10000.0,10020.1223725336,0.0,-0.021962229536253264
2015-01-22,24.871932983398438,,,0.0,0.0,0.02601543816139462,0.0,0.02601543816139462,0.0,0.0,10000.0,10280.800246485855,0.0,0.0
2015-01-23,25.000282287597656,,,0.0,0.0,0.005160407286594504,0.0,0.005160407286594504,0.0,0.0,10000.0,10333.853362989843,0.0,0.0
2015-01-26,25.026830673217773,,,0.0,0.0,0.0010619234340920602,0.0,0.0010619234340920602,0.0,0.0,10000.0,10344.827124040472,0.0,0.0
2015-01-27,24.150558471679688,,,0.0,0.0,-0.03501331083347359,-0.0,-0.03501331083347359,0.0,0.0,10000.0,9982.620476427895,0.0,-0.03501331083347348
2015-01-28,25.515871047973633,,,0.0,0.0,0.056533374907043576,0.0,0.056533374907043576,0.0,0.0,10000.0,10546.971702376522,0.0,0.0
2015-01-29,26.310264587402344,,,0.0,0.0,0.031133310633806532,0.0,0.031133310633806532,0.0,0.0,10000.0,10875.333848632577,0.0,0.0
