model,variant,window_id,test_start,test_end,cagr,sharpe,max_drawdown,turnover,exposure,benchmark_cagr,benchmark_sharpe,excess_cagr_vs_benchmark
baseline_sma_20_100,long_cash,1,2018-01-01,2018-12-31,0.031179166470915787,0.16556217004580587,-0.1922618458345201,2.00796812749004,0.4860557768924303,-0.07096503969418888,-0.17322391331235848,0.10214420616510467
baseline_sma_20_100,long_cash,2,2019-01-01,2019-12-31,0.6241079468912165,2.7389891840834824,-0.09247084422942775,3.0,0.5912698412698413,0.8948706050166833,2.492051275439272,-0.27076265812546674
baseline_sma_20_100,long_cash,3,2020-01-01,2020-12-31,0.6894772934515405,1.8886374829409118,-0.20375644389649505,0.9960474308300394,0.6047430830039525,0.7859406547112093,1.4639959193819447,-0.09646336125966881
baseline_sma_20_100,long_cash,4,2021-01-01,2021-12-31,0.3344647577191717,1.864630617412865,-0.1120048377151851,1.0,0.5277777777777778,0.38586214155926024,1.423750967632067,-0.05139738384008852
baseline_sma_20_100,long_cash,5,2022-01-01,2022-12-31,-0.10967483001919143,-0.9180867828450262,-0.20824976824992836,2.00796812749004,0.17131474103585656,-0.28478985345940067,-0.7980925390216419,0.17511502344020924
baseline_sma_20_100,long_cash,6,2023-01-01,2023-12-31,0.12452177867832437,0.6949801661912425,-0.11308236386401271,3.024,0.364,0.5578778116153658,2.0729493063881717,-0.4333560329370414
baseline_sma_20_100,long_cash,7,2024-01-01,2024-12-31,0.3715259550414398,1.6059766583280828,-0.11749438831392878,1.0,0.6031746031746031,0.35698061945673043,1.2479255086474546,0.014545335584709385
baseline_sma_20_100,long_cash,8,2025-01-01,2025-12-31,0.30081156265695075,1.5704274008739676,-0.05700847543216825,1.008,0.452,0.1206942610401458,0.3867101736586986,0.18011730161680495
baseline_sma_20_100,long_cash,9,2026-01-01,2026-06-08,-0.04041294835118869,-1.0876077236778834,-0.043337573391771245,2.333333333333333,0.07407407407407407,0.2874426413389999,1.0327843316865482,-0.3278555896901886
selected_v2,long_cash,1,2018-01-01,2018-12-31,0.07613579186094754,0.4413259907051123,-0.12634717016851904,6.0239043824701195,0.5179282868525896,-0.07096503969418888,-0.17322391331235848,0.14710083155513642
selected_v2,long_cash,2,2019-01-01,2019-12-31,0.6025189109489573,2.359004457605702,-0.119550562681207,5.0,0.7103174603174603,0.8948706050166833,2.492051275439272,-0.292351694067726
