Date,gross_return,strategy_return,turnover,transaction_cost,cash_weight,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2015-01-02,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,24.19260025024414,,,0.0,0.0,0.0,0.0,10000.0,0.0
2015-01-05,0.0002190642869825954,0.0002190642869825954,0.0,0.0,1.0,10002.190642869826,10002.190642869826,0.0,23.511056900024414,,,0.0,0.0,0.0,-0.028171562509608616,9718.284374903913,-0.028171562509608727
2015-01-06,-0.0002190163083310992,-0.0002190163083310992,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,23.51327133178711,,,0.0,0.0,0.0,9.418682333639516e-05,9719.199709237466,-0.0280800290762534
2015-01-07,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,23.842979431152344,,,0.0,0.0,0.0,0.014022213018037633,9855.484397925242,-0.014451560207475844
2015-01-08,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,24.759084701538086,,,0.0,0.0,0.0,0.038422432608770096,10234.15608303131,0.0
2015-01-09,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,24.78563690185547,,,0.0,0.0,0.0,0.0010724225324747483,10245.131422615617,0.0
2015-01-12,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,24.174898147583008,,,0.0,0.0,0.0,-0.02464083358805036,9992.682844143239,-0.02464083358805047
2015-01-13,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,24.389543533325195,,,0.0,0.0,0.0,0.008878853777658957,10081.406413962908,-0.015980762168779417
2015-01-14,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,24.29660415649414,,,0.0,0.0,0.0,-0.0038106238726470787,10042.989966012005,-0.01973048936760302
2015-01-15,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,23.637184143066406,,,0.0,0.0,0.0,-0.027140418849499248,9770.419011833119,-0.04633541447156009
2015-01-16,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,23.45352554321289,,,0.0,0.0,0.0,-0.0077699018098731365,9694.503815469858,-0.05374529466066946
2015-01-20,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,24.0576171875,,,0.0,0.0,0.0,0.02575696533018368,9944.20481413825,-0.02937264502172099
2015-01-21,0.0002190642869825954,0.0002190642869825954,0.0,0.0,1.0,10002.190642869826,10002.190642869826,0.0,24.241289138793945,,,0.0,0.0,0.0,0.007634669296732399,10020.125529313169,-0.021962226156099773
2015-01-22,-0.0002190163083310992,-0.0002190163083310992,0.0,0.0,1.0,10000.0,10000.0,-0.0002190163083310992,24.87194061279297,,,0.0,0.0,0.0,0.026015591431141072,10280.805021172526,0.0
2015-01-23,0.0002190642869825954,0.0002190642869825954,0.0,0.0,1.0,10002.190642869826,10002.190642869826,0.0,25.000276565551758,,,0.0,0.0,0.0,0.005159868896308817,10333.85262723029,0.0
2015-01-26,0.0,0.0,0.0,0.0,1.0,10002.190642869826,10002.190642869826,0.0,25.026826858520508,,,0.0,0.0,0.0,0.0010619999702456973,10344.82717841293,0.0
