regime,days,strategy_return,benchmark_return,upside_capture,downside_capture,capture_spread,average_exposure,fallback_exposure
bear,473,-0.33347547930277144,-0.40712947928322996,0.14506867667514567,0.22832572194368045,-0.08325704526853478,0.1945031712473573,0.0
bull,561,1.6290413010298321,1.9085154286930766,0.9607187529046156,0.9879491602329443,-0.02723040732832871,0.9875222816399287,0.0
correction,96,-0.24915678071373115,-0.25673834613095314,0.47704892195386817,0.6761518807989044,-0.19910295884503626,0.5520833333333334,0.0
recovery,49,-0.02799789935312369,0.35613890156289174,0.00894794129405088,0.21645007044754744,-0.20750212915349656,0.061224489795918366,0.0
sideways,171,0.3690083454262625,0.3679618250732488,0.8080071482283241,0.7385211001468305,0.06948604808149361,0.7719298245614035,0.0
