name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,risk_free_rate,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,capture_spread,missed_return_while_in_cash,avoided_downside_while_out,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,average_target_exposure,volatility_adjusted_exposure,risk_price_sma_window,risk_drawdown_threshold,risk_volatility_window,risk_max_realized_volatility,risk_sharp_loss_threshold,target_volatility,sizing_window,fallback_asset,fallback_weight,fallback_min_hold_days,fallback_cooldown_days,hybrid_fallback,selection_score
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.35_loss_0.06_vol_60_0.15_cash_fallback_10bps,1.4202343209559558,0.1588308684084303,0.11120423088277769,1.308985822426105,1.4772075011415053,1.4404673023165309,-0.11026343198002597,12,0.6363636363636364,0.46657842488418266,3.637620646780361,0.08801000700553376,0.15052120366747948,-0.021384587152871254,12.317848576408988,0.05335901144398747,-0.16305404516788635,0.27489568228814554,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2822670274015729,0.23848123319481668,0.04378579420675621,1.0202606841472055,6.5192256827441595,58.75,40.0,2.0013698630136987,0.0,0.34612893724083654,0.645450124100599,200,0.12,60,0.35,-0.06,0.15,60,cash,0.0,0,0,False,1.3465774725214155
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_5_risk_sma_200_dd_0.12_vol_0.35_loss_0.06_vol_60_0.15_cash_fallback_10bps,1.4202343209559558,0.1588308684084303,0.11120423088277769,1.308985822426105,1.4772075011415053,1.4404673023165309,-0.11026343198002597,12,0.6363636363636364,0.46657842488418266,3.637620646780361,0.08801000700553376,0.15052120366747948,-0.021384587152871254,12.317848576408988,0.05335901144398747,-0.16305404516788635,0.27489568228814554,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2822670274015729,0.23848123319481668,0.04378579420675621,1.0202606841472055,6.5192256827441595,58.75,40.0,2.0013698630136987,0.0,0.34612893724083654,0.645450124100599,200,0.12,60,0.35,-0.06,0.15,60,cash,0.0,0,0,False,1.3465774725214155
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.08_vol_0.35_loss_0.08_vol_60_0.25_cash_fallback_10bps,2.2280577469342995,0.21585461488360846,0.14914320510158888,1.3312108072907072,1.4719464039002272,1.4907745894507216,-0.1447935968395735,13,0.6666666666666666,0.4626075446724024,4.232635568725161,0.11033841859145498,0.18172214530116054,-0.03242903482795617,11.207373038713007,0.08280960546331251,-0.10603029869270819,0.24036551742859802,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.3793731684865028,0.3204487318796047,0.05892443660689811,0.6909730836246966,5.825310455606728,53.76923076923077,34.0,2.168150684931507,0.0,0.45288212353416546,0.8947301400734535,200,0.08,60,0.35,-0.08,0.25,60,cash,0.0,0,0,False,1.3459928641402517
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_risk_sma_200_dd_0.08_vol_0.45_loss_0.06_vol_40_0.15_cash_fallback_10bps,1.486217381639889,0.16404115697940713,0.11277533343548292,1.3321586981315872,1.487031572184365,1.5439859225249457,-0.10624524134983282,14,0.6923076923076923,0.4758438120450033,4.386260962481513,0.07453026534789006,0.11709915784453556,-0.02124974276956232,12.398884448031922,0.06623891754050781,-0.15784375659690952,0.2789138729183387,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2905366395332934,0.24536309793726713,0.04517354159602627,0.9873844226946306,6.4644810087234905,51.357142857142854,38.0,2.334931506849315,0.0,0.35351788507901094,0.6555634516749567,200,0.08,40,0.45,-0.06,0.15,40,cash,0.0,0,0,False,1.343944342011992
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_5_risk_sma_200_dd_0.12_vol_0.45_loss_0.08_vol_40_0.15_cash_fallback_10bps,1.4861575734466363,0.1640364867266788,0.1136027475062658,1.32324556593159,1.4912165674933031,1.3780054767161898,-0.11903906733199676,12,0.7272727272727273,0.4884182660489742,3.851947706762498,0.08687635430248997,0.1274878745173733,-0.021421032937198953,15.870740985103813,0.058080329420744814,-0.15784842684963785,0.26612004693617475,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.295898179828505,0.2518748971886762,0.044023282639828853,0.9892206277951547,6.405863905352982,61.5,44.5,2.0013698630136987,0.0,0.3603156237977988,0.6555634516749567,200,0.12,40,0.45,-0.08,0.15,40,cash,0.0,0,0,False,1.3433929189240925
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_0_risk_sma_200_dd_0.12_vol_0.45_loss_0.08_vol_40_0.15_cash_fallback_10bps,1.4861575734466363,0.1640364867266788,0.1136027475062658,1.32324556593159,1.4912165674933031,1.3780054767161898,-0.11903906733199676,12,0.7272727272727273,0.4884182660489742,3.851947706762498,0.08687635430248997,0.1274878745173733,-0.021421032937198953,15.870740985103813,0.058080329420744814,-0.15784842684963785,0.26612004693617475,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.295898179828505,0.2518748971886762,0.044023282639828853,0.9892206277951547,6.405863905352982,61.5,44.5,2.0013698630136987,0.0,0.3603156237977988,0.6555634516749567,200,0.12,40,0.45,-0.08,0.15,40,cash,0.0,0,0,False,1.3433929189240925
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_0_risk_sma_200_dd_0.08_vol_0.45_loss_0.08_vol_40_0.15_cash_fallback_10bps,1.4610316461521773,0.16206614212027004,0.11290103132823305,1.3157507802753394,1.4728426409891535,1.466660059677098,-0.1105001401319613,12,0.7272727272727273,0.47915287888815355,3.931305236113977,0.08746653545234596,0.12976466503880657,-0.02532847677821563,13.662057525218815,0.058710507494990516,-0.15981877145604662,0.2746589741362102,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2910786943094086,0.24720770280237064,0.04387099150703794,0.9996433284772677,6.446069686354781,60.333333333333336,44.5,2.0013698630136987,0.0,0.3560632201232446,0.6555634516749567,200,0.08,40,0.45,-0.08,0.15,40,cash,0.0,0,0,False,1.3382949101779342
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_10_risk_sma_200_dd_0.08_vol_0.45_loss_0.08_vol_40_0.15_cash_fallback_10bps,1.4610316461521773,0.16206614212027004,0.11290103132823305,1.3157507802753394,1.4728426409891535,1.466660059677098,-0.1105001401319613,12,0.7272727272727273,0.47915287888815355,3.931305236113977,0.08746653545234596,0.12976466503880657,-0.02532847677821563,13.662057525218815,0.058710507494990516,-0.15981877145604662,0.2746589741362102,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,10,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2910786943094086,0.24720770280237064,0.04387099150703794,0.9996433284772677,6.446069686354781,60.333333333333336,44.5,2.0013698630136987,0.0,0.3560632201232446,0.6555634516749567,200,0.08,40,0.45,-0.08,0.15,40,cash,0.0,0,0,False,1.3382949101779342
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_5_risk_sma_200_dd_0.08_vol_0.45_loss_0.08_vol_40_0.15_cash_fallback_10bps,1.4610316461521773,0.16206614212027004,0.11290103132823305,1.3157507802753394,1.4728426409891535,1.466660059677098,-0.1105001401319613,12,0.7272727272727273,0.47915287888815355,3.931305236113977,0.08746653545234596,0.12976466503880657,-0.02532847677821563,13.662057525218815,0.058710507494990516,-0.15981877145604662,0.2746589741362102,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.2910786943094086,0.24720770280237064,0.04387099150703794,0.9996433284772677,6.446069686354781,60.333333333333336,44.5,2.0013698630136987,0.0,0.3560632201232446,0.6555634516749567,200,0.08,40,0.45,-0.08,0.15,40,cash,0.0,0,0,False,1.3382949101779342
AAPL_capture_cash_capture_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_5_risk_sma_200_dd_0.12_vol_0.35_loss_0.08_vol_60_0.15_cash_fallback_10bps,1.4002104158492634,0.15722629539896849,0.11163232606892509,1.29197781786133,1.4557573053325863,1.4259151250384658,-0.11026343198002553,11,0.7,0.4692256783587028,3.350452890090294,0.0955163613988147,0.14722272188354563,-0.02513181306555749,13.668718746986258,0.048678073740981986,-0.16465861817734817,0.274895682288146,AAPL,capture_train,capture_cash,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.28385332363573507,0.24136353689013676,0.04248978674559831,1.0296912222430856,6.49366226247065,64.45454545454545,46.0,1.8345890410958905,0.0,0.34805114179712493,0.645450124100599,200,0.12,60,0.35,-0.08,0.15,60,cash,0.0,0,0,False,1.3353458662515545
