Date,gross_return,strategy_return,turnover,transaction_cost,cash_weight,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown,regime
2021-01-04,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,125.7408447265625,,,0.0,0.0,0.0,0.0,10000.0,0.0,bear
2021-01-05,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,127.29546356201172,,,0.0,0.0,0.0,0.01236367418105,10123.6367418105,0.0,bear
2021-01-06,0.00010912682065922219,0.00010912682065922219,0.0,0.0,1.0,10000.0,10000.0,0.0,123.01051330566406,,,0.0,0.0,0.0,-0.03366145294141021,9782.860420030114,-0.03366145294141021,bear
2021-01-07,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,127.2080307006836,,,0.0,0.0,0.0,0.03412324103216524,10116.683324126832,-0.0006868497814574992,bear
2021-01-08,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,128.3060302734375,126.31217651367187,,0.0,0.0,0.0,0.008631527166216957,10204.005751071047,0.0,bear
2021-01-11,0.00010912682065922219,0.00010912682065922219,0.0,0.0,1.0,10000.0,10000.0,0.0,125.3230209350586,126.22861175537109,,0.0,0.0,0.0,-0.023249174898652192,9966.771036697543,-0.023249174898652303,bear
2021-01-12,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,125.14814758300781,125.79914855957031,,0.0,0.0,0.0,-0.0013953809184140686,9952.863594574732,-0.024612114362043913,bear
2021-01-13,0.0,0.0,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,127.17888641357422,126.63282318115235,,0.0,0.0,0.0,0.016226679098222174,10114.365518232276,-0.008784808145503198,bear
2021-01-14,0.00010912682065922219,0.00010912682065922219,0.0,0.0,1.0,10000.0,10000.0,0.0,125.25503540039062,126.24222412109376,,0.0,0.0,0.0,-0.015127125794508145,9961.364238706341,-0.0237790450421137,bear
2021-01-15,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,123.53520202636719,125.28805847167969,,0.0,0.0,0.0,-0.013730652572376156,9824.588207197772,-0.0371831958085137,bear
2021-01-19,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,124.20564270019531,125.06458282470703,,0.0,0.0,0.0,0.005427122494890302,9877.90745086009,-0.03195787107202763,bear
2021-01-20,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,128.28660583496094,125.69227447509766,,0.0,0.0,0.0,0.032856503505369394,10202.46095164499,-0.0001513914695604468,bear
2021-01-21,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,132.9893341064453,126.85436401367187,,0.0,0.0,0.0,0.03665798343386184,10576.462596195013,0.0,bear
2021-01-22,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,135.12696838378906,128.82875061035156,,0.0,0.0,0.0,0.016073727203061106,10746.46577073963,0.0,bear
2021-01-25,0.00010912682065922219,0.00010912682065922219,0.0,0.0,1.0,10000.0,10000.0,0.0,138.86776733398438,131.895263671875,,0.0,0.0,0.0,0.027683585260128485,11043.966472148953,0.0,bear
2021-01-26,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,139.1010284423828,134.8743408203125,,0.0,0.0,0.0,0.001679735426561857,11062.517413881986,0.0,bear
2021-01-27,0.0,0.0,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,138.03216552734375,136.82345275878907,,0.0,0.0,0.0,-0.007684076293381192,10977.51218607686,-0.007684076293381081,bear
2021-01-28,0.00010912682065922219,0.00010912682065922219,0.0,0.0,1.0,10000.0,10000.0,0.0,133.20310974121094,136.8662078857422,,0.0,0.0,0.0,-0.03498500344237654,10593.46388445823,-0.042400252300182295,bear
2021-01-29,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,128.2185516357422,135.48452453613282,,0.0,0.0,0.0,-0.03742073375879007,10197.04869285456,-0.07823433750634179,bear
2021-02-01,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,130.33673095703125,133.7783172607422,,0.0,0.0,0.0,0.016520069009253957,10365.50464095124,-0.0630067051515858,bear
2021-02-02,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,131.16262817382812,132.19063720703124,,0.0,0.0,0.0,0.006336642101827383,10431.187134065778,-0.05706931399031945,bear
2021-02-03,0.0,0.0,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,130.1423797607422,130.61268005371093,,0.0,0.0,0.0,-0.007778499312577125,10350.048152114085,-0.06440389968325355,bear
2021-02-04,0.00010912682065922219,0.00010912682065922219,0.0,0.0,1.0,10000.0,10000.0,0.0,133.4945831298828,130.6709747314453,,0.0,0.0,0.0,0.025757968889945193,10616.644370425674,-0.04030484443774074,bear
2021-02-05,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,133.08103942871094,131.64347229003906,,0.0,0.0,0.0,-0.0030978313237588484,10583.755796941761,-0.043277818151901126,bear
2021-02-08,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,133.22698974609375,132.22152404785157,,0.0,0.0,0.0,0.0010967025656647422,10595.363029078635,-0.04222857848044015,bear
2021-02-09,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,132.35118103027344,132.45923461914063,,0.0,0.0,0.0,-0.006573808486474375,10525.7111416808,-0.048524784379328056,bear
2021-02-10,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,131.7478485107422,132.78032836914062,,0.0,0.0,0.0,-0.004558572993717758,10477.728919130659,-0.0528621536014483,bear
2021-02-11,0.00010912682065922219,0.00010912682065922219,0.0,0.0,1.0,10000.0,10000.0,0.0,131.49488830566406,132.38038940429686,,0.0,0.0,0.0,-0.0019200329108789438,10457.611334774661,-0.05468068943767246,bear
2021-02-12,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,131.7283935546875,132.1098602294922,,0.0,0.0,0.0,0.0017757743440234286,10476.181692682721,-0.05300201565906604,bear
2021-02-16,0.00010912682065922219,0.00010912682065922219,0.0,0.0,1.0,10000.0,10000.0,0.0,129.6070556640625,131.38587341308593,,0.0,0.0,0.0,-0.01610387732956231,10307.474547821554,-0.06825235503023519,bear
2021-02-17,0.0,0.0,0.0,0.0,1.0,10000.0,10000.0,0.0,127.32026672363281,130.37969055175782,,0.0,0.0,0.0,-0.01764401581930053,10125.609303842753,-0.08469212521767766,bear
2021-02-18,-0.00010911491329557155,-0.00010911491329557155,0.0,0.0,1.0,9998.908850867045,9998.908850867045,-0.00010911491329557155,126.22066497802734,129.27425384521484,,0.0,0.0,0.0,-0.008636502058170459,10038.159458249884,-0.0925971835620949,bear
