name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,risk_free_rate,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,capture_spread,missed_return_while_in_cash,avoided_downside_while_out,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,average_target_exposure,volatility_adjusted_exposure,risk_price_sma_window,risk_drawdown_threshold,risk_volatility_window,risk_max_realized_volatility,risk_sharp_loss_threshold,target_volatility,sizing_window,fallback_asset,fallback_weight,fallback_min_hold_days,fallback_cooldown_days,hybrid_fallback
AAPL_long_cash_sma_20_100_0bps,2.931236876656281,0.12722965601564207,0.2167446471169293,0.5750608264648956,0.6504546011583671,0.36083122483857044,-0.35260156898162676,21,0.5,0.6638830897703549,3.594989561586639,0.0762654193115121,0.22936627687659134,-0.07683543825356721,2.9851626032203002,0.0,-0.11973475103366571,0.03255754528654475,AAPL,base_20_100,long_cash,0.018941489030219374,20,100,0.0,,False,0.0,0.0,0,0,0.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6079346486119598,0.6189270704198565,-0.010992421807896724,1.4259772032833569,6.256118319838643,90.85714285714286,63.0,1.837185628742515,0.0,0.6638830897703549,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_20_100_5bps,2.8515356820890547,0.12521160204604054,0.21674183837199731,0.5667750262008547,0.6430224197916153,0.3538054013399012,-0.3538996340130761,21,0.5,0.6638830897703549,3.594989561586639,0.07519046475094918,0.2281386348596332,-0.07775770535773487,2.93396820045101,0.07970119456722635,-0.12175280500326724,0.031259480255095395,AAPL,base_20_100,long_cash,0.018941489030219374,20,100,0.0,,False,0.0,0.0,0,0,5.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6073704729115806,0.6195026383966743,-0.01213216548509366,1.4259772032833569,6.256118319838643,90.85714285714286,63.0,1.837185628742515,0.0,0.6638830897703549,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_20_100_10bps,2.7734117043507904,0.12319615497484704,0.21674311707624483,0.5584784789209054,0.6341514927341985,0.3468401757000679,-0.35519574607003324,21,0.5,0.6638830897703549,3.594989561586639,0.07411604728047425,0.22691160610786948,-0.07867951154692103,2.883998663013424,0.15782517230549065,-0.12376825207446074,0.029963368198138274,AAPL,base_20_100,long_cash,0.018941489030219374,20,100,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6068062972112015,0.6200782063734919,-0.013271909162290374,1.4259772032833569,6.256118319838643,90.85714285714286,63.0,1.837185628742515,0.0,0.6638830897703549,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_20_100_20bps,2.6217741862730457,0.1191730732611509,0.2167579363116911,0.541855023987859,0.616075663314356,0.33308839905504345,-0.3577821190988322,21,0.5,0.6638830897703549,3.594989561586639,0.0719688236097868,0.2244593883999218,-0.0805217411803482,2.78756252795366,0.3094626903832354,-0.12779133378815688,0.027376995169339335,AAPL,base_20_100,long_cash,0.018941489030219374,20,100,0.0,,False,0.0,0.0,0,0,20.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6056779458104431,0.6212293423271273,-0.015551396516684246,1.4259772032833569,6.256118319838643,90.85714285714286,63.0,1.837185628742515,0.0,0.6638830897703549,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_20_100_50bps,2.2016638189747746,0.10716617886118396,0.21690043767863473,0.4917759006692739,0.5613052612662237,0.2932086754085686,-0.36549457041765343,21,0.5,0.6638830897703549,3.594989561586639,0.0655400427598283,0.21711745364072543,-0.08603736812106884,2.52352504943207,0.7295730576815065,-0.13979822818812382,0.01966454385051808,AAPL,base_20_100,long_cash,0.018941489030219374,20,100,0.0,,False,0.0,0.0,0,0,50.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6022928916081681,0.6246827501880334,-0.022389858579865307,1.4259772032833569,6.256118319838643,90.85714285714286,63.0,1.837185628742515,0.0,0.6638830897703549,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_5_50_0bps,5.757200137388006,0.18193113116646198,0.18684348361874428,0.8888066707463824,1.0465935455819317,0.7400898868613026,-0.2458230201442504,45,0.4318181818181818,0.6231732776617954,7.803757828810021,0.04740908981427019,0.15461559213836173,-0.034067851952039416,3.4492297956026694,0.0,-0.0650332758828458,0.13933609412392112,AAPL,selected,long_cash,0.018941489030219374,5,50,0.0,,False,0.0,0.0,0,0,0.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5488668573000905,0.5205339478112421,0.02833290948884848,0.9633829670537782,7.871563969719939,39.8,24.0,3.9368263473053893,0.0,0.6231732776617954,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_5_50_5bps,5.463450456355071,0.1773443511497761,0.18683042306376335,0.8679842022093034,1.0285844676806797,0.7148360241885592,-0.2480909539374253,45,0.4318181818181818,0.6231732776617954,7.803757828810021,0.04636392231593172,0.15346592244925178,-0.03503359778539153,3.329207059346499,0.293749681032935,-0.06962005589953169,0.1370681603307462,AAPL,selected,long_cash,0.018941489030219374,5,50,0.0,,False,0.0,0.0,0,0,5.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5478410832994011,0.5219880142789921,0.02585306902040896,0.9633829670537782,7.871563969719939,39.8,24.0,3.9368263473053893,0.0,0.6231732776617954,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_5_50_10bps,5.182333385063779,0.1727730926211113,0.18682748096002516,0.8471129406860949,1.0053007283427373,0.6901173681244955,-0.2503532016454677,45,0.4318181818181818,0.6231732776617954,7.803757828810021,0.04531927654155998,0.15231682540902924,-0.03599886059771666,3.215679201752422,0.574866752324227,-0.07419131442819649,0.1348059126227038,AAPL,selected,long_cash,0.018941489030219374,5,50,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5468153092987117,0.523442080746742,0.02337322855196966,0.9633829670537782,7.871563969719939,39.8,24.0,3.9368263473053893,0.0,0.6231732776617954,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_5_50_20bps,4.655870274368968,0.1636769609117088,0.18685195237432453,0.805237606866382,0.9578205743468553,0.6422213032892677,-0.25486068442981225,45,0.4318181818181818,0.6231732776617954,7.803757828810021,0.04323155016471733,0.15002034927524785,-0.037927937159285864,3.0061077398002927,1.1013298630190382,-0.08328744613759897,0.13029842983835926,AAPL,selected,long_cash,0.018941489030219374,5,50,0.0,,False,0.0,0.0,0,0,20.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.544763761297333,0.5263502136822419,0.018413547615091064,0.9633829670537782,7.871563969719939,39.8,24.0,3.9368263473053893,0.0,0.6231732776617954,,,,,,,,,cash,0.0,0,0,False
AAPL_long_cash_sma_5_50_50bps,3.328206798106504,0.1367564436924371,0.18716792101657773,0.6787965843277668,0.8120005976289398,0.5098137553029789,-0.26824784986659234,45,0.38636363636363635,0.6231732776617954,7.803757828810021,0.03698089240939377,0.16003882167608954,-0.04050002601778503,2.488027636674331,2.4289933392815017,-0.11020796335687066,0.11691126440157917,AAPL,selected,long_cash,0.018941489030219374,5,50,0.0,,False,0.0,0.0,0,0,50.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5386091172931966,0.5350746124887416,0.003534504804455052,0.9633829670537782,7.871563969719939,39.8,24.0,3.9368263473053893,0.0,0.6231732776617954,,,,,,,,,cash,0.0,0,0,False
