name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,risk_free_rate,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,capture_spread,missed_return_while_in_cash,avoided_downside_while_out,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,average_target_exposure,volatility_adjusted_exposure,risk_price_sma_window,risk_drawdown_threshold,risk_volatility_window,risk_max_realized_volatility,risk_sharp_loss_threshold,target_volatility,sizing_window,fallback_asset,fallback_weight,fallback_min_hold_days,fallback_cooldown_days,hybrid_fallback,cagr_20bps,sharpe_20bps,selection_score,robust_20bps,passes_selection
AAPL_long_cash_hysteresis_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_5_10bps,3.8053091552852747,0.2992659122015653,0.20545315380436827,1.338294339791388,1.6321321204573276,1.3608237653523068,-0.2199152600219968,15,0.6428571428571429,0.6962276637988087,4.836532097948378,0.12391596550305246,0.2191270008511202,-0.04746389812346945,8.310076018323986,0.14123786816986694,-0.02261900137475137,0.16524385424617472,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.6262979795458047,0.5697193064079955,0.05657867313780918,0.22462265237948198,3.6932434209831855,70.13333333333334,66.0,2.5017123287671232,0.0,0.6962276637988087,,,,,,,,,cash,0.0,0,0,False,0.29299756973057645,1.3146128333018496,1.5267208951981055,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_0_10bps,3.8053091552852747,0.2992659122015653,0.20545315380436827,1.338294339791388,1.6321321204573276,1.3608237653523068,-0.2199152600219968,15,0.6428571428571429,0.6962276637988087,4.836532097948378,0.12391596550305246,0.2191270008511202,-0.04746389812346945,8.310076018323986,0.14123786816986694,-0.02261900137475137,0.16524385424617472,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.6262979795458047,0.5697193064079955,0.05657867313780918,0.22462265237948198,3.6932434209831855,70.13333333333334,66.0,2.5017123287671232,0.0,0.6962276637988087,,,,,,,,,cash,0.0,0,0,False,0.29299756973057645,1.3146128333018496,1.5267208951981055,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.000_exit_-0.005_hold_20_cool_10_10bps,3.696777897896709,0.29432506086380883,0.2057277311535846,1.3183120493029583,1.5922660556271038,1.0788651129659026,-0.27280987894277287,14,0.6923076923076923,0.6962276637988087,4.502978160158835,0.13664896979052316,0.2191270008511202,-0.048926600095820116,10.07704910926646,0.12854119913092266,-0.027559852712507826,0.11234923532539864,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,20,10,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.6256778450215433,0.5715801517480588,0.05409769327348457,0.24906846130378812,3.6771997842131876,75.14285714285714,68.0,2.334931506849315,0.0,0.6962276637988087,,,,,,,,,cash,0.0,0,0,False,0.28850387169690106,1.2961504203209733,1.4886926014231132,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.000_exit_0.000_hold_20_cool_0_10bps,3.7279815411289503,0.2957552580330982,0.20504297956806675,1.3273552568336953,1.6115511464326853,1.344860097491716,-0.21991526002199646,17,0.5625,0.6889477167438782,5.5036399735274655,0.10649648806876291,0.21708294874788772,-0.035686104232969015,7.821157685581311,0.15824113542735674,-0.026129655543218444,0.16524385424617505,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.0,0.0,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.621695623926931,0.5660306487985172,0.05566497512841384,0.23769267909614178,3.7264067593182006,61.23529411764706,38.0,2.83527397260274,0.0,0.6889477167438782,,,,,,,,,cash,0.0,0,0,False,0.28865318777407234,1.3005851398258295,1.4855868430487824,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.005_exit_-0.005_hold_20_cool_0_10bps,3.5600205028028764,0.2879619227324397,0.2044887993209125,1.3008633775264737,1.5746723769744515,1.3830147273562117,-0.20821320050793046,15,0.6428571428571429,0.6823295830575777,4.836532097948378,0.1194070948338647,0.21165313140089917,-0.046635770986797276,8.169172042410832,0.13380022938039726,-0.033922990843876955,0.17694591376024105,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.005,-0.005,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.6155678423848492,0.5628248983300562,0.05274294405479296,0.2788033012415515,3.7509511024586293,68.73333333333333,62.0,2.5017123287671232,0.0,0.6823295830575777,,,,,,,,,cash,0.0,0,0,False,0.28175852528567846,1.2773382400658666,1.483836973221099,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.005_exit_-0.005_hold_20_cool_5_10bps,3.5600205028028764,0.2879619227324397,0.2044887993209125,1.3008633775264737,1.5746723769744515,1.3830147273562117,-0.20821320050793046,15,0.6428571428571429,0.6823295830575777,4.836532097948378,0.1194070948338647,0.21165313140089917,-0.046635770986797276,8.169172042410832,0.13380022938039726,-0.033922990843876955,0.17694591376024105,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.005,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.6155678423848492,0.5628248983300562,0.05274294405479296,0.2788033012415515,3.7509511024586293,68.73333333333333,62.0,2.5017123287671232,0.0,0.6823295830575777,,,,,,,,,cash,0.0,0,0,False,0.28175852528567846,1.2773382400658666,1.483836973221099,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.000_exit_-0.005_hold_10_cool_0_10bps,3.4258984087140787,0.2815650387276467,0.20044640731569452,1.2981204049718083,1.5889671949494104,1.3818705967928882,-0.2037564438964954,16,0.6,0.6823295830575777,5.1700860357379215,0.1091743181334104,0.21088494985721815,-0.04339162945230122,7.290056372129421,0.1391810441882626,-0.040319874848669945,0.18140267037167612,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,10,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.6043064013008951,0.5530827756094803,0.05122362569141481,0.31115949119717823,3.836028554940421,64.4375,56.0,2.668493150684932,0.0,0.6823295830575777,,,,,,,,,cash,0.0,0,0,False,0.27495754656727556,1.2722024745597695,1.4635833374557763,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.000_exit_-0.005_hold_10_cool_5_10bps,3.4258984087140787,0.2815650387276467,0.20044640731569452,1.2981204049718083,1.5889671949494104,1.3818705967928882,-0.2037564438964954,16,0.6,0.6823295830575777,5.1700860357379215,0.1091743181334104,0.21088494985721815,-0.04339162945230122,7.290056372129421,0.1391810441882626,-0.040319874848669945,0.18140267037167612,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.0,-0.005,10,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.6043064013008951,0.5530827756094803,0.05122362569141481,0.31115949119717823,3.836028554940421,64.4375,56.0,2.668493150684932,0.0,0.6823295830575777,,,,,,,,,cash,0.0,0,0,False,0.27495754656727556,1.2722024745597695,1.4635833374557763,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.020_exit_-0.005_hold_20_cool_5_10bps,3.3218467430537792,0.2764901229057244,0.19905745635558944,1.2858872589680046,1.5274511187697721,1.0902062564062394,-0.2536126730891709,13,0.5833333333333334,0.6492389146260754,4.169424222369292,0.1378771499713063,0.2628863188464189,-0.037135686453851326,9.910705349215837,0.10993982469210906,-0.04539479067059227,0.1315464411790006,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.02,-0.005,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.5845431346589959,0.5319324757600133,0.05261065889898253,0.3441780934693309,4.018699675449248,75.46153846153847,66.0,2.168150684931507,0.0,0.6492389146260754,,,,,,,,,cash,0.0,0,0,False,0.2711480550033898,1.2640523004072033,1.4613736335684575,True,True
AAPL_long_cash_hysteresis_trend_5_50_entry_0.020_exit_-0.005_hold_20_cool_0_10bps,3.3218467430537792,0.2764901229057244,0.19905745635558944,1.2858872589680046,1.5274511187697721,1.0902062564062394,-0.2536126730891709,13,0.5833333333333334,0.6492389146260754,4.169424222369292,0.1378771499713063,0.2628863188464189,-0.037135686453851326,9.910705349215837,0.10993982469210906,-0.04539479067059227,0.1315464411790006,AAPL,allocation_train,long_cash_hysteresis,0.008039496216814625,5,50,0.0,,False,0.02,-0.005,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.5845431346589959,0.5319324757600133,0.05261065889898253,0.3441780934693309,4.018699675449248,75.46153846153847,66.0,2.168150684931507,0.0,0.6492389146260754,,,,,,,,,cash,0.0,0,0,False,0.2711480550033898,1.2640523004072033,1.4613736335684575,True,True
