Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,model_forecast,entry_price,exit_price,long_forecast_price,cash_forecast_price
2015-01-02,24.192604064941406,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,CASH,,,,24.192604064941406
2015-01-05,23.51106071472168,,,0.0,0.0,-0.028171558067508,-0.0,-0.028171558067508,0.0,0.0,10000.0,9718.28441932492,0.0,-0.0281715580675079,CASH,,,,23.51106071472168
2015-01-06,23.51326942443848,,,0.0,0.0,9.394343128943385e-05,0.0,9.394343128943385e-05,0.0,0.0,10000.0,9719.197388309518,0.0,-0.0280802611690481,CASH,,,,23.51326942443848
2015-01-07,23.842987060546875,,,0.0,0.0,0.0140226197453301,0.0,0.0140226197453301,0.0,0.0,10000.0,9855.485997515589,0.0,-0.0144514002484412,CASH,,,,23.842987060546875
2015-01-08,24.759077072143555,,,0.0,0.0,0.0384217803444828,0.0,0.0384217803444828,0.0,0.0,10000.0,10234.151315700256,0.0,0.0,CASH,,,,24.759077072143555
2015-01-09,24.785633087158203,,,0.0,0.0,0.001072576935613,0.0,0.001072576935613,0.0,0.0,10000.0,10245.12823035705,0.0,0.0,CASH,,,,24.785633087158203
2015-01-12,24.174901962280277,,,0.0,0.0,-0.0246405295652648,-0.0,-0.0246405295652648,0.0,0.0,10000.0,9992.682845297008,0.0,-0.0246405295652648,CASH,,,,24.174901962280277
2015-01-13,24.389543533325195,,,0.0,0.0,0.0088786945808434,0.0,0.0088786945808434,0.0,0.0,10000.0,10081.404824323634,0.0,-0.0159806107207415,CASH,,,,24.389543533325195
2015-01-14,24.29660987854004,,,0.0,0.0,-0.0038103892620283,-0.0,-0.0038103892620283,0.0,0.0,10000.0,10042.99074763487,0.0,-0.0197301076352789,CASH,,,,24.29660987854004
2015-01-15,23.637187957763672,,,0.0,0.0,-0.0271404909603788,-0.0,-0.0271404909603788,0.0,0.0,10000.0,9770.419048033516,0.0,-0.0463351137877353,CASH,,,,23.637187957763672
2015-01-16,23.453527450561523,,,0.0,0.0,-0.0077699812486292,-0.0,-0.0077699812486292,0.0,0.0,10000.0,9694.503075239048,0.0,-0.0537450720710807,CASH,,,,23.453527450561523
2015-01-20,24.05762481689453,,,0.0,0.0,0.0257572072092953,0.0,0.0257572072092953,0.0,0.0,10000.0,9944.206399739129,0.0,-0.0293721878195988,CASH,,,,24.05762481689453
2015-01-21,24.24128532409668,,,0.0,0.0,0.0076341911805513,0.0,0.0076341911805513,0.0,0.0,10000.0,10020.1223725336,0.0,-0.0219622295362532,CASH,,,,24.24128532409668
2015-01-22,24.87193298339844,,,0.0,0.0,0.0260154381613946,0.0,0.0260154381613946,0.0,0.0,10000.0,10280.800246485856,0.0,0.0,CASH,,,,24.87193298339844
2015-01-23,25.000282287597656,,,0.0,0.0,0.0051604072865945,0.0,0.0051604072865945,0.0,0.0,10000.0,10333.853362989845,0.0,0.0,CASH,,,,25.000282287597656
2015-01-26,25.026830673217773,,,0.0,0.0,0.001061923434092,0.0,0.001061923434092,0.0,0.0,10000.0,10344.827124040472,0.0,0.0,CASH,,,,25.026830673217773
2015-01-27,24.150558471679688,,,0.0,0.0,-0.0350133108334735,-0.0,-0.0350133108334735,0.0,0.0,10000.0,9982.620476427895,0.0,-0.0350133108334734,CASH,,,,24.150558471679688
2015-01-28,25.515871047973636,,,0.0,0.0,0.0565333749070435,0.0,0.0565333749070435,0.0,0.0,10000.0,10546.971702376522,0.0,0.0,CASH,,,,25.515871047973636
2015-01-29,26.310264587402344,,,0.0,0.0,0.0311333106338065,0.0,0.0311333106338065,0.0,0.0,10000.0,10875.333848632576,0.0,0.0,CASH,,,,26.310264587402344
2015-01-30,25.92523002624512,24.48281412124634,,0.0,0.0,-0.0146343857500234,-0.0,-0.0146343857500234,0.0,0.0,10000.0,10716.180017931403,0.0,-0.0146343857500232,CASH,,,,25.92523002624512
2015-02-02,26.25051498413086,24.58570966720581,,0.0,0.0,0.0125470423042126,0.0,0.0125470423042126,0.0,0.0,10000.0,10850.636381955946,0.0,-0.0022709617029122,CASH,,,,26.25051498413086
2015-02-03,26.254941940307617,24.722903728485107,,0.0,0.0,0.0001686426410847,0.0,0.0001686426410847,0.0,0.0,10000.0,10852.46626193285,0.0,-0.0021027020428069,CASH,,,,26.254941940307617
2015-02-04,26.456302642822266,24.870055389404296,,0.0,0.0,0.0076694400228518,0.0,0.0076694400228518,0.0,0.0,10000.0,10935.698601028767,0.0,0.0,CASH,,,,26.456302642822266
2015-02-05,26.64513397216797,25.01016273498535,,0.0,0.0,0.0071374799379584,0.0,0.0071374799379584,0.0,0.0,10000.0,11013.75193040117,0.0,0.0,CASH,,,,26.64513397216797
2015-02-06,26.420759201049805,25.093246841430663,,0.0,0.0,-0.0084208535544438,-0.0,-0.0084208535544438,0.0,0.0,10000.0,10921.006738310289,0.0,-0.0084208535544437,CASH,,,,26.420759201049805
2015-02-09,26.59626197814941,25.183778285980225,,0.0,0.0,0.0066426091606268,0.0,0.0066426091606268,0.0,0.0,10000.0,10993.550717713457,0.0,-0.0018341808327778,CASH,,,,26.59626197814941
2015-02-10,27.10721778869629,25.330394077301023,,0.0,0.0,0.0192115648043571,0.0,0.0192115648043571,0.0,0.0,10000.0,11204.754029756796,0.0,0.0,CASH,,,,27.10721778869629
2015-02-11,27.74258041381836,25.498045921325684,,0.0,0.0,0.0234388726307064,0.0,0.0234388726307064,0.0,0.0,10000.0,11467.38083231866,0.0,0.0,CASH,,,,27.74258041381836
2015-02-12,28.093578338623047,25.687894344329838,,0.0,0.0,0.0126519566517993,0.0,0.0126519566517993,0.0,0.0,10000.0,11612.465637518831,0.0,0.0,CASH,,,,28.093578338623047
2015-02-13,28.231313705444336,25.917600631713867,,0.0,0.0,0.0049027348941139,0.0,0.0049027348941139,0.0,0.0,10000.0,11669.398478006597,0.0,0.0,CASH,,,,28.231313705444336
2015-02-17,28.397933959960938,26.16482095718384,,0.0,0.0,0.0059019660315866,0.0,0.0059019660315866,0.0,0.0,10000.0,11738.270871432838,0.0,0.0,CASH,,,,28.397933959960938
2015-02-18,28.59564971923828,26.391722202301025,,0.0,0.0,0.0069623290045011,0.0,0.0069623290045011,0.0,0.0,10000.0,11819.996575183706,0.0,0.0,CASH,,,,28.59564971923828
2015-02-19,28.535659790039062,26.606440925598143,,0.0,0.0,-0.0020978690740801,-0.0,-0.0020978690740801,0.0,0.0,10000.0,11795.199769912895,0.0,-0.0020978690740799,CASH,,,,28.535659790039062
2015-02-20,28.768922805786133,26.801290416717528,,0.0,0.0,0.0081744391916425,0.0,0.0081744391916425,0.0,0.0,10000.0,11891.618913185324,0.0,0.0,CASH,,,,28.768922805786133
2015-02-23,29.546463012695312,27.02859945297241,,0.0,0.0,0.0270270879503626,0.0,0.0270270879503626,0.0,0.0,10000.0,12213.01474342418,0.0,0.0,CASH,,,,29.546463012695312
2015-02-24,29.362075805664062,27.245361709594725,,0.0,0.0,-0.0062405847682013,-0.0,-0.0062405847682013,0.0,0.0,10000.0,12136.798389642548,0.0,-0.0062405847682012,CASH,,,,29.362075805664062
2015-02-25,28.61119270324707,27.468393421173097,,0.0,0.0,-0.0255732294741962,-0.0,-0.0255732294741962,0.0,0.0,10000.0,11826.421259342163,0.0,-0.0316542223360671,CASH,,,,28.61119270324707
2015-02-26,28.97330665588379,27.641265201568604,,0.0,0.0,0.0126563739020786,0.0,0.0126563739020786,0.0,0.0,10000.0,11976.100868723888,0.0,-0.0193984761074534,CASH,,,,28.97330665588379
2015-02-27,28.53788185119629,27.752646064758306,,0.0,0.0,-0.0150284815557659,-0.0,-0.0150284815557659,0.0,0.0,10000.0,11796.118257708278,0.0,-0.0341354280228286,CASH,,,,28.53788185119629
2015-03-02,28.677845001220703,27.89027681350708,,0.0,0.0,0.004904468760303,0.0,0.004904468760303,0.0,0.0,10000.0,11853.97195119605,0.0,-0.029398375402883,CASH,,,,28.677845001220703
2015-03-03,28.737823486328125,28.014642238616943,,0.0,0.0,0.0020914571895087,0.0,0.0020914571895087,0.0,0.0,10000.0,11878.764026057614,0.0,-0.0273684036569705,CASH,,,,28.737823486328125
2015-03-04,28.55565643310547,28.129677963256835,,0.0,0.0,-0.0063389300623034,-0.0,-0.0063389300623034,0.0,0.0,10000.0,11803.465371669829,0.0,-0.0335338473225755,CASH,,,,28.55565643310547
2015-03-05,28.08246612548828,28.210986137390137,,0.0,0.0,-0.016570808264404,-0.0,-0.016570808264404,0.0,0.0,10000.0,11607.872410140357,0.0,-0.0495489726326293,CASH,,,,28.08246612548828
2015-03-06,28.124679565429688,28.284963417053223,,0.0,0.0,0.0015031956151134,0.0,0.0015031956151134,0.0,0.0,10000.0,11625.321313048074,0.0,-0.0481202588159106,CASH,,,,28.124679565429688
2015-03-09,28.2446346282959,28.37615718841553,,0.0,0.0,0.0042651174953707,0.0,0.0042651174953707,0.0,0.0,10000.0,11674.904674369662,0.0,-0.0440603798782974,CASH,,,,28.2446346282959
2015-03-10,27.66037368774414,28.429362773895264,,0.0,0.0,-0.02068573193602,-0.0,-0.02068573193602,0.0,0.0,10000.0,11433.400725897063,0.0,-0.0638346906071558,CASH,,,,27.66037368774414
2015-03-11,27.156085968017575,28.43180618286133,,0.0,0.0,-0.0182314138420336,-0.0,-0.0182314138420336,0.0,0.0,10000.0,11224.953665641426,0.0,-0.0809023077872522,CASH,,,,27.156085968017575
2015-03-12,27.647048950195312,28.427029609680176,,0.0,0.0,0.0180792984215749,0.0,0.0180792984215749,0.0,0.0,10000.0,11427.89295273091,0.0,-0.064285666331157,CASH,,,,27.647048950195312
2015-03-13,27.455995559692383,28.395150470733643,,0.0,0.0,-0.0069104442520104,-0.0,-0.0069104442520104,0.0,0.0,10000.0,11348.92113556312,0.0,-0.0707518680697827,CASH,,,,27.455995559692383
2015-03-16,27.75812530517578,28.371491050720216,,0.0,0.0,0.0110041446075606,0.0,0.0110041446075606,0.0,0.0,10000.0,11473.806304878655,0.0,-0.060526287249717,CASH,,,,27.75812530517578
2015-03-17,28.22242927551269,28.362715816497804,,0.0,0.0,0.0167267769430503,0.0,0.0167267769430503,0.0,0.0,10000.0,11665.726103628129,0.0,-0.0448119200126837,CASH,,,,28.22242927551269
