source,variant,cagr,sharpe,max_drawdown,turnover,trades,cost_drag
v2_leaderboard,long_cash,0.267082691284678,1.2590984846547773,-0.2503532016454677,7.171409662475182,22,0.181151264193268
v2_leaderboard,partial_exposure,0.2632825299498416,1.2333862558400335,-0.23937500915622179,7.838517538054269,26,0.19501988069994436
v2_leaderboard,momentum_6m,0.2277498653064649,1.201997963822527,-0.25035320164546815,7.171409662475182,22,0.15032113186196483
v2_leaderboard,fallback_qqq,0.30242644828318777,1.1089234386949784,-0.3019938326339128,14.509596293845137,1,0.4432515702094122
v2_leaderboard,fallback_spy,0.27267051322818947,1.0589087640318133,-0.35742998701626905,14.509596293845137,1,0.3856417231785487
v2_leaderboard,spread_threshold,0.20090237012497592,1.0173788670182495,-0.2762313378938136,8.8391793514229,27,0.1635229535960221
v2_leaderboard,momentum_3m,0.188532494107005,0.999065884509565,-0.27495292090927315,10.173395102581072,31,0.17685255641290132
v3_allocation,long_cash_hysteresis,0.2992659122015653,1.338294339791388,-0.2199152600219968,4.836532097948378,15,0.14123786816986694
v3_allocation,long_cash_hysteresis,0.2992659122015653,1.338294339791388,-0.2199152600219968,4.836532097948378,15,0.14123786816986694
v3_allocation,long_cash_hysteresis,0.29432506086380883,1.3183120493029583,-0.27280987894277287,4.502978160158835,14,0.12854119913092266
v3_allocation,long_cash_hysteresis,0.2957552580330982,1.3273552568336953,-0.21991526002199646,5.5036399735274655,17,0.15824113542735674
v3_allocation,long_cash_hysteresis,0.2879619227324397,1.3008633775264737,-0.20821320050793046,4.836532097948378,15,0.13380022938039726
v3_allocation,long_cash_hysteresis,0.2879619227324397,1.3008633775264737,-0.20821320050793046,4.836532097948378,15,0.13380022938039726
v3_allocation,long_cash_hysteresis,0.2815650387276467,1.2981204049718083,-0.2037564438964954,5.1700860357379215,16,0.1391810441882626
v3_allocation,long_cash_hysteresis,0.2815650387276467,1.2981204049718083,-0.2037564438964954,5.1700860357379215,16,0.1391810441882626
v3_allocation,long_cash_hysteresis,0.2764901229057244,1.2858872589680046,-0.2536126730891709,4.169424222369292,13,0.10993982469210906
v3_allocation,long_cash_hysteresis,0.2764901229057244,1.2858872589680046,-0.2536126730891709,4.169424222369292,13,0.10993982469210906
v3_allocation,long_cash_hysteresis,0.2764901229057244,1.2858872589680046,-0.2536126730891709,4.169424222369292,13,0.10993982469210906
v3_allocation,long_cash_hysteresis,0.28452060529554113,1.302143629008921,-0.27280987894277287,5.1700860357379215,16,0.14145730887687247
v3_allocation,long_cash_hysteresis,0.28586357801944673,1.1336481635170892,-0.33783320704019615,1.1674387822634018,4,0.031925405143226726
v3_allocation,long_cash_hysteresis,0.28586357801944673,1.1336481635170892,-0.33783320704019615,1.1674387822634018,4,0.031925405143226726
v3_allocation,long_cash_hysteresis,0.28586357801944673,1.1336481635170892,-0.33783320704019615,1.1674387822634018,4,0.031925405143226726
