name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,risk_free_rate,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,capture_spread,missed_return_while_in_cash,avoided_downside_while_out,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,average_target_exposure,volatility_adjusted_exposure,risk_price_sma_window,risk_drawdown_threshold,risk_volatility_window,risk_max_realized_volatility,risk_sharp_loss_threshold,target_volatility,sizing_window,fallback_asset,fallback_weight,fallback_min_hold_days,fallback_cooldown_days,hybrid_fallback,neighbor_sharpe,stable_neighbor_count,hot_pixel_risk,selection_score
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_10_10bps,7.827992806149297,0.2098980111179416,0.2233090035005646,0.8824684950117159,1.0259215749641428,0.6982424870713683,-0.3006090505868739,8,0.7142857142857143,0.709116214335421,1.3152400835073068,0.3755809779090103,0.5444754579859208,-0.04665522228326585,29.17548300810537,0.13306098056633608,-0.03706639593136618,0.08455006368129758,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.01,-0.01,10,10,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6714442135201534,0.643908086054879,0.02753612746527434,0.564777706673458,5.8612373396077455,254.75,208.0,0.6998802395209581,0.0,0.709116214335421,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.2663713421646544,1.0154390990888504
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_0_cool_10_10bps,7.827992806149297,0.2098980111179416,0.2233090035005646,0.8824684950117159,1.0259215749641428,0.6982424870713683,-0.3006090505868739,8,0.7142857142857143,0.709116214335421,1.3152400835073068,0.3755809779090103,0.5444754579859208,-0.04665522228326585,29.17548300810537,0.13306098056633608,-0.03706639593136618,0.08455006368129758,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.01,-0.01,0,10,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6714442135201534,0.643908086054879,0.02753612746527434,0.564777706673458,5.8612373396077455,254.75,208.0,0.6998802395209581,0.0,0.709116214335421,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.2663713421646544,1.0154390990888504
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_10_10bps,7.827992806149297,0.2098980111179416,0.2233090035005646,0.8824684950117159,1.0259215749641428,0.6982424870713683,-0.3006090505868739,8,0.7142857142857143,0.709116214335421,1.3152400835073068,0.3755809779090103,0.5444754579859208,-0.04665522228326585,29.17548300810537,0.13306098056633608,-0.03706639593136618,0.08455006368129758,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.01,-0.01,20,10,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6714442135201534,0.643908086054879,0.02753612746527434,0.564777706673458,5.8612373396077455,254.75,208.0,0.6998802395209581,0.0,0.709116214335421,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.2663713421646544,1.0154390990888504
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,8.239195136791174,0.21472657170348475,0.22559119182199397,0.8934622736379572,1.0438992998769243,0.635599364505148,-0.33783320704019615,8,0.7142857142857143,0.7112038970076549,1.3152400835073068,0.3911341800541982,0.5662499409891838,-0.04665522228326585,30.342259305464964,0.1398475637058052,-0.03223783534582303,0.04732590722797536,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.01,-0.01,10,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.678121507353888,0.6486905517789412,0.029430955574946793,0.5138298798033871,5.782666247202888,255.5,208.0,0.6998802395209581,0.0,0.7112038970076549,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.2773651207908957,1.0099009154174132
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,8.239195136791174,0.21472657170348475,0.22559119182199397,0.8934622736379572,1.0438992998769243,0.635599364505148,-0.33783320704019615,8,0.7142857142857143,0.7112038970076549,1.3152400835073068,0.3911341800541982,0.5662499409891838,-0.04665522228326585,30.342259305464964,0.1398475637058052,-0.03223783534582303,0.04732590722797536,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.01,-0.01,10,5,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.678121507353888,0.6486905517789412,0.029430955574946793,0.5138298798033871,5.782666247202888,255.5,208.0,0.6998802395209581,0.0,0.7112038970076549,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.2773651207908957,1.0099009154174132
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,8.239195136791174,0.21472657170348475,0.22559119182199397,0.8934622736379572,1.0438992998769243,0.635599364505148,-0.33783320704019615,8,0.7142857142857143,0.7112038970076549,1.3152400835073068,0.3911341800541982,0.5662499409891838,-0.04665522228326585,30.342259305464964,0.1398475637058052,-0.03223783534582303,0.04732590722797536,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.01,-0.01,20,5,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.678121507353888,0.6486905517789412,0.029430955574946793,0.5138298798033871,5.782666247202888,255.5,208.0,0.6998802395209581,0.0,0.7112038970076549,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.2773651207908957,1.0099009154174132
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,8.239195136791174,0.21472657170348475,0.22559119182199397,0.8934622736379572,1.0438992998769243,0.635599364505148,-0.33783320704019615,8,0.7142857142857143,0.7112038970076549,1.3152400835073068,0.3911341800541982,0.5662499409891838,-0.04665522228326585,30.342259305464964,0.1398475637058052,-0.03223783534582303,0.04732590722797536,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.01,-0.01,20,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.678121507353888,0.6486905517789412,0.029430955574946793,0.5138298798033871,5.782666247202888,255.5,208.0,0.6998802395209581,0.0,0.7112038970076549,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.2773651207908957,1.0099009154174132
AAPL_long_cash_hysteresis_trend_5_200_entry_0.005_exit_-0.010_hold_0_cool_10_10bps,7.386455128748398,0.20447914944887646,0.22354100938715146,0.8616443881439992,1.0035328460235406,0.6802162112207707,-0.30060905058687404,9,0.625,0.7112038970076549,1.4906054279749477,0.32241648616917057,0.5444754579859208,-0.04768180019207972,19.031561161441562,0.1435868690339408,-0.042485257600431314,0.08455006368129747,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.005,-0.01,0,10,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6718957069902298,0.6475164512762315,0.02437925571399835,0.6136424709414778,5.8034602303253795,227.11111111111111,206.0,0.7873652694610779,0.0,0.7112038970076549,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.24554723529693778,0.9873875434902919
AAPL_long_cash_hysteresis_trend_5_200_entry_0.020_exit_-0.010_hold_10_cool_0_10bps,7.1765547622678145,0.20181119272077486,0.2230911999124149,0.8529603298162595,0.9900690579916738,0.6711709673017197,-0.30068522411228227,8,0.7142857142857143,0.7052887961029923,1.3152400835073068,0.3631211438410339,0.5282909852739109,-0.04980345974115874,26.518789458582482,0.1234327787694518,-0.04515321432853292,0.08447389015588924,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.02,-0.01,10,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6670416075828755,0.6433888660427811,0.023652741540094335,0.6430324557586898,5.870260039881803,253.375,206.0,0.6998802395209581,0.0,0.7052887961029923,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.236863176969198,0.9851830700323871
AAPL_long_cash_hysteresis_trend_5_200_entry_0.020_exit_-0.010_hold_0_cool_0_10bps,7.1765547622678145,0.20181119272077486,0.2230911999124149,0.8529603298162595,0.9900690579916738,0.6711709673017197,-0.30068522411228227,8,0.7142857142857143,0.7052887961029923,1.3152400835073068,0.3631211438410339,0.5282909852739109,-0.04980345974115874,26.518789458582482,0.1234327787694518,-0.04515321432853292,0.08447389015588924,AAPL,full_hysteresis,long_cash_hysteresis,0.018941489030219374,5,200,0.0,,False,0.02,-0.01,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6670416075828755,0.6433888660427811,0.023652741540094335,0.6430324557586898,5.870260039881803,253.375,206.0,0.6998802395209581,0.0,0.7052887961029923,,,,,,,,,cash,0.0,0,0,False,0.6160971528470615,1188,0.236863176969198,0.9851830700323871
