name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,risk_free_rate,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,capture_spread,missed_return_while_in_cash,avoided_downside_while_out,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,average_target_exposure,volatility_adjusted_exposure,risk_price_sma_window,risk_drawdown_threshold,risk_volatility_window,risk_max_realized_volatility,risk_sharp_loss_threshold,target_volatility,sizing_window,fallback_asset,fallback_weight,fallback_min_hold_days,fallback_cooldown_days,hybrid_fallback,neighbor_sharpe,stable_neighbor_count,hot_pixel_risk
AAPL_long_cash_sma_5_50_10bps,5.182333385063779,0.1727730926211113,0.18682748096002516,0.8471129406860949,1.0053007283427373,0.6901173681244955,-0.2503532016454677,45,0.4318181818181818,0.6231732776617954,7.803757828810021,0.04531927654155998,0.15231682540902924,-0.03599886059771666,3.215679201752422,0.574866752324227,-0.07419131442819649,0.1348059126227038,AAPL,full,long_cash,0.018941489030219374,5,50,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5468153092987117,0.523442080746742,0.02337322855196966,0.9633829670537782,7.871563969719939,39.8,24.0,3.9368263473053893,0.0,0.6231732776617954,,,,,,,,,cash,0.0,0,0,False,0.601447286666779,11,0.24566565401931584
AAPL_long_cash_sma_10_200_10bps,7.236501394079314,0.20257946652355763,0.22624227766288585,0.8469443980813985,0.9911344502414638,0.6445982241486622,-0.3142724552043401,9,0.625,0.708768267223382,1.4906054279749477,0.31647151087711406,0.5360379090647115,-0.04947248610221492,18.05845199010232,0.14078616557700663,-0.04438494052575015,0.0708866590638314,AAPL,full,long_cash,0.018941489030219374,10,200,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6753033058825942,0.6522315102596958,0.023071795622898406,0.6265002514688465,5.7201626590631145,226.33333333333334,203.0,0.7873652694610779,0.0,0.708768267223382,,,,,,,,,cash,0.0,0,0,False,0.6185674628835233,11,0.22837693519787527
AAPL_long_cash_sma_30_200_10bps,6.356986429674669,0.19075735168990415,0.23361716721127002,0.7850437469925664,0.9194981815142415,0.5124363101348953,-0.3722557280136698,7,0.6666666666666666,0.709116214335421,1.139874739039666,0.4422898433971281,0.6983813665873905,-0.06989320298339641,19.98424272395402,0.09626846858097515,-0.056207055359403624,0.012903386254501714,AAPL,full,long_cash,0.018941489030219374,30,200,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6939853170236443,0.679976392028708,0.014008924994936334,0.7260307024762302,5.260255924634714,291.14285714285717,208.0,0.6123952095808384,0.0,0.709116214335421,,,,,,,,,cash,0.0,0,0,False,0.6170217644660524,14,0.168021982526514
AAPL_long_cash_sma_10_50_10bps,4.4785655608794785,0.1604389372198931,0.18856569688061278,0.7848361964246837,0.9191945304296978,0.6137681195597069,-0.26139991978564425,37,0.4166666666666667,0.6200417536534447,6.400835073068894,0.05128660579541225,0.17309489955586052,-0.035719318319193664,3.461410233633565,0.414828227590438,-0.08652546982941467,0.12375919448252726,AAPL,full,long_cash,0.018941489030219374,10,50,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5434210746374929,0.5265293635819128,0.016891711055580072,1.0958341197525372,7.804471120863448,48.16216216216216,38.0,3.2369461077844313,0.0,0.6200417536534447,,,,,,,,,cash,0.0,0,0,False,0.607108808872362,11,0.17772738755232176
AAPL_long_cash_sma_5_200_10bps,5.426013484795363,0.17674618205461967,0.22267741117618578,0.7592408251896557,0.876703660367111,0.5210349019198149,-0.3392213869039816,17,0.5,0.7070285316631872,2.893528183716075,0.1379407101677817,0.3147529566054297,-0.03887153626986628,8.097260535839183,0.21585064026691736,-0.0702182249946881,0.045937727364189884,AAPL,full,long_cash,0.018941489030219374,5,200,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6593542607148292,0.6489718677736115,0.010382392941217677,0.8684633430354138,5.784860551284092,119.52941176470588,51.0,1.487245508982036,0.0,0.7070285316631872,,,,,,,,,cash,0.0,0,0,False,0.6265405149645907,11,0.132700310225065
AAPL_long_cash_sma_20_200_10bps,5.182956034687767,0.1727834254465268,0.23066827238048432,0.7259741313239614,0.8493833055103799,0.4953501717669403,-0.34881067029854695,8,0.7142857142857143,0.7080723729993041,1.3152400835073068,0.29253676500195197,0.4594727392283847,-0.1248031705641301,9.203947647153017,0.09367970703640616,-0.07418098160278097,0.036348443969624555,AAPL,full,long_cash,0.018941489030219374,20,200,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6784339993082068,0.6726204028385157,0.005813596469691151,0.905004269777751,5.38603829139049,254.375,204.0,0.6998802395209581,0.0,0.7080723729993041,,,,,,,,,cash,0.0,0,0,False,0.6295647598614721,11,0.09640937146248929
AAPL_long_cash_sma_30_50_10bps,3.6704133292260925,0.144349198989558,0.1991106907075316,0.6832003006185339,0.7841940085489085,0.48373235902630823,-0.2984071590333849,32,0.5483870967741935,0.6259568545581071,5.524008350730689,0.05601227674685343,0.1401577754348147,-0.04616440023138524,3.6866412994326003,0.30321027224029073,-0.10261520805974977,0.08675195523478663,AAPL,full,long_cash,0.018941489030219374,30,50,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5612959662960249,0.5559629927494696,0.005332973546555264,1.241881741307982,7.321279095535704,56.21875,45.0,2.7995209580838325,0.0,0.6259568545581071,,,,,,,,,cash,0.0,0,0,False,0.6090832827042408,13,0.07411701791429304
AAPL_long_cash_sma_50_200_10bps,3.942923660756559,0.15004067939799537,0.23478161701111366,0.6339120779641454,0.7150548120642997,0.33138428408427284,-0.4527694480521569,6,0.6,0.6958942240779401,0.9645093945720251,0.44208258238750797,0.8115595122294311,-0.11213281237537653,10.856227027187847,0.05477334686799118,-0.09692372765131241,-0.0676103337839854,AAPL,full,long_cash,0.018941489030219374,50,200,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.6777504702575844,0.6846845615776106,-0.006934091320026203,1.1288228458541325,5.179095033142946,333.3333333333333,224.5,0.5249101796407186,0.0,0.6958942240779401,,,,,,,,,cash,0.0,0,0,False,0.5923567629403963,5,0.041555315023749095
AAPL_long_cash_sma_5_100_10bps,3.1913913639704585,0.13356656308598303,0.20242267161669114,0.6284842520108358,0.7343500163177342,0.3932629756917833,-0.3396367604934789,31,0.36666666666666664,0.6663187195546277,5.348643006263048,0.05602060579644032,0.2358920751478025,-0.04811550803855887,2.8383592256525176,0.26331478963700583,-0.11339784396332475,0.0455223537746926,AAPL,full,long_cash,0.018941489030219374,5,100,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5840634574152038,0.5889472149764596,-0.004883757561255808,1.3322841715566374,6.783209254493112,61.774193548387096,26.0,2.7120359281437127,0.0,0.6663187195546277,,,,,,,,,cash,0.0,0,0,False,0.663450129573161,15,-0.034965877562325165
AAPL_long_cash_sma_20_50_10bps,2.9153473809078103,0.1268303284638288,0.19506905648182643,0.613900268078781,0.7177681921806285,0.43708706083077337,-0.290171775441629,34,0.48484848484848486,0.6203897007654836,5.874739039665971,0.04586057375233496,0.147916021260601,-0.050191612137797756,2.77367219150684,0.2712490006120851,-0.12013407858547898,0.09498733882654253,AAPL,full,long_cash,0.018941489030219374,20,50,0.0,,False,0.0,0.0,0,0,10.0,11.464142151973821,0.24696440704930778,0.8490639440563159,-0.3851591142681715,0.5493158183615747,0.5530598067041481,-0.00374398834257339,1.422676044400498,7.369014837336742,52.44117647058823,42.0,2.974491017964072,0.0,0.6203897007654836,,,,,,,,,cash,0.0,0,0,False,0.6226484387219894,11,-0.00874817064320843
