Date,AAPL,MSFT,NVDA,AMZN,META,GOOGL,SPY,QQQ,BIL
2015-01-02,24.19260025024414,39.68173599243164,0.4824230372905731,15.425999641418457,77.83914947509766,26.244783401489258,170.12498474121094,94.6650619506836,73.69434356689453
2015-01-05,23.511056900024414,39.31684112548828,0.47427478432655334,15.10949993133545,76.58898162841797,25.74471664428711,167.05258178710938,93.27644348144531,73.71048736572266
2015-01-06,23.51327133178711,38.73976516723633,0.45989561080932617,14.76449966430664,75.55706024169922,25.109350204467773,165.47915649414062,92.02577209472656,73.69434356689453
2015-01-07,23.842979431152344,39.231971740722656,0.45869725942611694,14.920999526977539,75.55706024169922,25.035507202148438,167.5412139892578,93.21206665039062,73.69434356689453
2015-01-08,24.759084701538086,40.38610076904297,0.4759523868560791,15.02299976348877,77.57125854492188,25.122732162475586,170.5142059326172,94.99610137939453,73.69434356689453
2015-01-09,24.78563690185547,40.04664993286133,0.4778696596622467,14.846500396728516,77.13468933105469,24.81595230102539,169.1477813720703,94.37081909179688,73.69434356689453
2015-01-12,24.174898147583008,39.54597473144531,0.47187817096710205,14.570500373840332,76.12264251708984,24.634559631347656,167.8227996826172,93.38683319091797,73.69434356689453
2015-01-13,24.389543533325195,39.34229278564453,0.47115933895111084,14.737000465393066,75.85472106933594,24.869474411010742,167.35073852539062,93.35918426513672,73.69434356689453
2015-01-14,24.29660415649414,39.00284194946289,0.4730765223503113,14.66349983215332,75.68605041503906,25.074159622192383,166.34036254882812,92.84423065185547,73.69434356689453
2015-01-15,23.637184143066406,38.595497131347656,0.46972137689590454,14.34749984741211,73.47342681884766,24.979007720947266,164.8166961669922,91.63954162597656,73.69434356689453
2015-01-16,23.45352554321289,39.24046325683594,0.47834882140159607,14.536999702453613,74.59461212158203,25.298673629760742,166.9780731201172,92.71551513671875,73.69434356689453
2015-01-20,24.0576171875,39.36774826049805,0.47978678345680237,14.472000122070312,75.6463623046875,25.272897720336914,167.33416748046875,93.45117950439453,73.69434356689453
2015-01-21,24.241289138793945,38.968902587890625,0.48649707436561584,14.862500190734863,76.14247131347656,25.79080581665039,168.1788787841797,93.92938232421875,73.71048736572266
2015-01-22,24.87194061279297,39.99573516845703,0.4948849380016327,15.515999794006348,77.04539489746094,26.628877639770508,170.67982482910156,95.6674575805664,73.69434356689453
2015-01-23,25.000276565551758,40.03816604614258,0.4963229298591614,15.619500160217285,77.22399139404297,26.859333038330078,169.7440643310547,95.87895202636719,73.71048736572266
2015-01-26,25.026826858520508,39.89390182495117,0.4941660463809967,15.482999801635742,76.89656066894531,26.60013198852539,170.1415557861328,95.76858520507812,73.71048736572266
2015-01-27,24.150564193725586,36.20238494873047,0.4704403579235077,15.337499618530273,75.18995666503906,25.830455780029297,167.8973388671875,93.28565216064453,73.71048736572266
